a,b
152,29.743589743589745
153,30.845771144278604
154,30.288461538461537
155,29.166666666666668
156,28.251121076233183
157,29.004329004329005
158,28.451882845188287
159,27.419354838709676
160,26.953125
161,26.31578947368421
162,26.90909090909091
163,25.964912280701753
164,25.423728813559322
165,26.229508196721312
166,25.31645569620253
167,29.66360856269113
168,28.994082840236686
169,28.000000000000004
170,27.548209366391184
171,27.73333333333333
172,26.99228791773779
173,29.1044776119403
174,29.086538461538463
175,28.306264501160094
176,27.3542600896861
177,26.83982683982684
178,27.615062761506277
179,27.67676767676768
180,27.5390625
181,26.93032015065913
182,26.229508196721312
183,26.18629173989455
184,25.46689303904924
185,27.914614121510674
186,27.258320126782888
187,26.64624808575804
188,25.88757396449704
189,26.285714285714285
190,26.20689655172414
191,25.6
192,24.83912483912484
193,24.62686567164179
194,24.158653846153847
195,23.781902552204176
196,22.982062780269057
197,23.293607800650054
198,23.117154811715483
199,22.525252525252526
200,21.875
201,22.243166823751178
202,22.313296903460838
203,21.8117854001759
204,21.15548003398471
205,21.67487684729064
206,22.60111022997621
207,22.2052067381317
208,21.523668639053252
209,21.300929235167978
210,21.325051759834366
211,21.46666666666667
212,20.798454603992273
213,20.535158680771623
214,21.634615384615387
215,21.125943122460825
216,20.63937184520471
217,20.96424702058505
218,21.559392987964415
219,21.3744315310763
220,21.484375
221,21.074964639321074
222,20.774487471526196
223,20.58952925648922
224,20.10199745006375
225,20.19704433497537
226,19.746233148295005
227,19.571045576407506
228,18.94191638919719
229,19.08506075768406
230,18.881601656886435
231,18.872957652550852
232,18.389694041867955
233,18.574984443061606
234,18.455064622783286
235,18.751814223512337
236,18.311833987661245
237,18.33694474539545
238,18.315018315018314
239,18.11978771796816
240,17.578125
241,17.283659514265505
242,17.312072892938495
243,17.557755775577558
244,17.084572885677858
245,16.813795935126258
246,16.974023398770573
247,16.931622294579583
248,16.52173913043478
249,17.047891350964974
250,17.210426376661488
251,17.175254293813573
252,16.95925269769689
253,16.599253266957064
254,16.74180943793207
255,16.66424735084918
256,16.671340437464945
257,16.75243770314193
258,16.562009419152275
259,16.56767344875521
260,16.2841796875
261,16.224501827614667
262,17.35763097949886
263,17.31573157315732
264,17.04388481564127
265,17.14227058098953
266,17.023597065238945
267,17.094426355104385
268,16.80851063829787
269,16.6383701188455
270,16.580355601588124
271,16.916791729197932
272,16.614319078682453
273,16.530532866588878
274,16.343552750225427
275,16.366671505298303
276,16.292765002804263
277,16.157648811539243
278,16.118270425852028
279,16.06217616580311
280,16.19873046875
281,15.97688951774555
282,16.275626423690206
283,16.12761276127613
284,26.67764730885713
285,26.606446314925066
286,26.516954193932186
287,26.485658190872957
288,26.277811184606133
289,26.23983558216424
290,26.118855465884078
291,26.067200266800068
292,26.008697753080455
293,25.822637106184366
294,26.040727382025846
295,25.98076574124478
296,25.884250008763626
297,26.191040530931502
298,26.16929417151828
299,25.985719701756604
300,25.921630859375
301,25.792948944699916
302,25.834282460136677
303,25.67452350174647
304,25.66084854281236
305,25.531205091357013
306,25.47158119128473
307,25.351370764994613
308,25.283315602016742
309,25.581395348837212
310,25.502255022550223
311,25.510672002668
312,25.52951598614802
313,25.473074155467824
314,25.37947099489029
315,25.36427806710338
316,25.248453192645435
317,25.20104969101837
318,25.086674952574086
319,24.96366738278782
320,24.920654296875
321,24.970522344063202
322,24.903189066059227
323,24.818130560941736
324,24.70444462155628
325,24.57016013138986
326,25.11867137634009
327,25.226864599545074
328,25.18617882418243
329,25.20748394303267
330,25.281068600159685
331,25.106564809121323
332,25.044546232445764
333,25.053968377448026
334,24.9304929365795
335,24.86073055217841
336,24.79295385828842
337,24.706041700175234
338,24.778609100944436
339,24.79622140780993
340,24.700164794921875
341,24.83658204060577
342,24.757260820045556
343,24.697801064400345
344,24.641512190910117
345,24.597746869226032
346,24.681320451883572
347,24.643840536334253
348,24.733595064498036
349,24.647305222005027
350,24.57435100666796
351,24.54911647151396
352,24.84433907655447
353,24.76625744499818
354,24.774571686203785
355,24.670199060044638
356,24.621182244423995
357,24.659059164134124
358,24.637965575043953
359,24.547913828169737
360,24.529647827148438
361,24.52752322312253
362,24.504643026206672
